"Tabela 9886 - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas, por alfabetização, cor ou raça, sexo e grupos de idade, segundo as Favelas e Comunidades Urbanas",,,,,,,,,,,,,,
Variável - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas (Pessoas),,,,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Ano x Alfabetização x Cor ou raça,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,2022,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Alfabetizadas,,,,,,Não alfabetizadas,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Branca,Preta,Amarela,Parda,Indígena,Sem declaração
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,55 a 64 anos,3,3,-,5,-,-,1,-,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,65 anos ou mais,4,3,-,7,-,-,-,1,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,75 anos ou mais,1,-,-,1,-,-,-,1,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Homens,80 anos ou mais,-,-,-,-,-,-,-,-,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,15 a 19 anos,4,2,-,5,-,-,-,-,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,20 a 24 anos,8,3,-,11,-,-,-,-,-,2,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,25 a 34 anos,3,7,-,23,-,-,-,-,-,1,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,35 a 44 anos,8,6,-,12,-,-,-,-,-,-,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,45 a 54 anos,3,6,-,7,-,-,-,-,-,1,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,55 a 64 anos,11,9,-,9,-,-,-,-,-,1,1,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,65 anos ou mais,6,4,-,12,-,-,1,2,-,4,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,75 anos ou mais,2,-,-,3,-,-,1,1,-,3,-,-
Vila Santo Antônio Barroquinha - Belo Horizonte (MG),Mulheres,80 anos ou mais,2,-,-,3,-,-,-,-,-,1,-,-
Vila Cemig - Belo Horizonte (MG),Homens,15 a 19 anos,37,51,-,120,-,-,-,1,-,-,-,-
Vila Cemig - Belo Horizonte (MG),Homens,20 a 24 anos,45,56,-,123,-,-,1,-,-,-,-,-
Vila Cemig - Belo Horizonte (MG),Homens,25 a 34 anos,78,80,-,209,1,-,1,-,-,2,-,-
Vila Cemig - Belo Horizonte (MG),Homens,35 a 44 anos,64,106,-,201,1,-,1,-,-,6,-,-
Vila Cemig - Belo Horizonte (MG),Homens,45 a 54 anos,44,92,-,159,-,-,1,5,-,8,-,-
Vila Cemig - Belo Horizonte (MG),Homens,55 a 64 anos,30,55,-,92,-,-,5,5,-,12,1,-
Vila Cemig - Belo Horizonte (MG),Homens,65 anos ou mais,38,28,-,54,-,-,10,9,-,20,-,-
Vila Cemig - Belo Horizonte (MG),Homens,75 anos ou mais,11,9,-,19,-,-,2,6,-,8,-,-
Vila Cemig - Belo Horizonte (MG),Homens,80 anos ou mais,6,5,-,13,-,-,1,6,-,6,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,15 a 19 anos,31,49,-,118,-,-,1,-,-,1,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,20 a 24 anos,45,56,-,127,-,-,-,-,-,2,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,25 a 34 anos,82,104,1,252,-,-,-,-,-,3,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,35 a 44 anos,80,112,-,213,-,-,-,3,-,3,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,45 a 54 anos,59,78,-,155,1,-,5,1,-,10,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,55 a 64 anos,46,51,-,96,-,-,5,3,-,19,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,65 anos ou mais,42,37,-,72,-,-,21,18,-,57,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,75 anos ou mais,14,18,-,23,-,-,14,6,-,37,-,-
Vila Cemig - Belo Horizonte (MG),Mulheres,80 anos ou mais,9,14,-,11,-,-,7,4,-,24,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,15 a 19 anos,6,4,-,4,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,20 a 24 anos,7,4,-,8,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,25 a 34 anos,5,10,-,8,-,-,-,1,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,35 a 44 anos,5,14,-,9,-,-,-,1,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,45 a 54 anos,2,1,-,12,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,55 a 64 anos,8,8,-,15,-,-,-,1,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,65 anos ou mais,3,7,-,6,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,75 anos ou mais,1,1,-,3,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Homens,80 anos ou mais,1,1,-,1,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,15 a 19 anos,5,2,-,7,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,20 a 24 anos,2,3,-,3,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,25 a 34 anos,6,17,-,4,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,35 a 44 anos,8,12,-,16,-,-,-,-,-,1,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,45 a 54 anos,9,9,-,8,-,-,-,-,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,55 a 64 anos,4,9,-,20,-,-,-,1,-,-,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,65 anos ou mais,5,10,-,12,-,-,-,3,-,2,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,75 anos ou mais,1,4,-,2,-,-,-,3,-,2,-,-
Cônego Pinheiro - Belo Horizonte (MG),Mulheres,80 anos ou mais,1,3,-,1,-,-,-,2,-,1,-,-
São Sebastião - Belo Horizonte (MG),Homens,15 a 19 anos,2,4,-,12,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Homens,20 a 24 anos,1,6,-,9,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Homens,25 a 34 anos,2,12,-,21,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Homens,35 a 44 anos,2,6,-,15,1,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Homens,45 a 54 anos,4,4,-,14,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Homens,55 a 64 anos,2,3,-,8,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Homens,65 anos ou mais,1,3,-,10,-,-,-,-,-,2,-,-
São Sebastião - Belo Horizonte (MG),Homens,75 anos ou mais,1,-,-,2,-,-,-,-,-,1,-,-
São Sebastião - Belo Horizonte (MG),Homens,80 anos ou mais,1,-,-,1,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,15 a 19 anos,2,2,-,10,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,20 a 24 anos,2,5,-,10,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,25 a 34 anos,5,7,-,21,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,35 a 44 anos,3,10,-,18,-,-,-,-,-,-,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,45 a 54 anos,1,9,-,16,-,-,1,1,-,1,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,55 a 64 anos,4,9,-,11,-,-,-,1,-,3,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,65 anos ou mais,2,3,-,9,-,-,1,3,-,5,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,75 anos ou mais,1,-,-,2,-,-,1,1,-,3,-,-
São Sebastião - Belo Horizonte (MG),Mulheres,80 anos ou mais,-,-,-,-,-,-,-,-,-,2,-,-
Vila Independência I - Belo Horizonte (MG),Homens,15 a 19 anos,17,15,-,50,-,-,1,-,-,-,-,-
Vila Independência I - Belo Horizonte (MG),Homens,20 a 24 anos,21,13,-,57,1,-,-,-,-,1,-,-
Vila Independência I - Belo Horizonte (MG),Homens,25 a 34 anos,49,46,-,83,-,-,-,1,-,1,-,-
Vila Independência I - Belo Horizonte (MG),Homens,35 a 44 anos,37,41,-,78,-,-,1,2,-,2,-,-
Vila Independência I - Belo Horizonte (MG),Homens,45 a 54 anos,23,31,-,73,-,-,1,1,-,4,-,-
Vila Independência I - Belo Horizonte (MG),Homens,55 a 64 anos,24,26,-,53,2,-,2,2,-,7,-,-
Vila Independência I - Belo Horizonte (MG),Homens,65 anos ou mais,21,20,-,33,-,-,9,4,-,10,-,-
Vila Independência I - Belo Horizonte (MG),Homens,75 anos ou mais,5,4,-,6,-,-,3,2,-,4,-,-
